,User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,date,year,month,day
0,1,Basic,10,15-01-22,10-06-23,United States,28,Male,Smartphone,1 Month,2022-01-15,2022,1,15
1,2,Premium,15,05-09-21,22-06-23,Canada,35,Female,Tablet,1 Month,2021-05-09,2021,5,9
2,3,Standard,12,28-02-23,27-06-23,United Kingdom,42,Male,Smart TV,1 Month,2023-02-28,2023,2,28
3,4,Standard,12,10-07-22,26-06-23,Australia,51,Female,Laptop,1 Month,2022-10-07,2022,10,7
4,5,Basic,10,01-05-23,28-06-23,Germany,33,Male,Smartphone,1 Month,2023-01-05,2023,1,5
5,6,Premium,15,18-03-22,27-06-23,France,29,Female,Smart TV,1 Month,2022-03-18,2022,3,18
6,7,Standard,12,09-12-21,25-06-23,Brazil,46,Male,Tablet,1 Month,2021-09-12,2021,9,12
7,8,Basic,10,02-04-23,24-06-23,Mexico,39,Female,Laptop,1 Month,2023-02-04,2023,2,4
8,9,Standard,12,20-10-22,23-06-23,Spain,37,Male,Smartphone,1 Month,2022-10-20,2022,10,20
9,10,Premium,15,07-01-23,22-06-23,Italy,44,Female,Smart TV,1 Month,2023-07-01,2023,7,1
10,11,Basic,10,16-05-22,22-06-23,United States,31,Female,Smartphone,1 Month,2022-05-16,2022,5,16
11,12,Premium,15,23-03-23,28-06-23,Canada,45,Male,Tablet,1 Month,2023-03-23,2023,3,23
12,13,Standard,12,30-11-21,27-06-23,United Kingdom,48,Female,Laptop,1 Month,2021-11-30,2021,11,30
13,14,Basic,10,01-08-22,26-06-23,Australia,27,Male,Smartphone,1 Month,2022-01-08,2022,1,8
14,15,Standard,12,09-05-23,28-06-23,Germany,38,Female,Smart TV,1 Month,2023-09-05,2023,9,5
15,16,Premium,15,07-04-22,27-06-23,France,36,Male,Tablet,1 Month,2022-07-04,2022,7,4
16,17,Basic,10,24-01-22,25-06-23,Brazil,30,Female,Laptop,1 Month,2022-01-24,2022,1,24
17,18,Standard,12,18-10-21,24-06-23,Mexico,43,Male,Smartphone,1 Month,2021-10-18,2021,10,18
18,19,Premium,15,15-02-23,23-06-23,Spain,32,Female,Smart TV,1 Month,2023-02-15,2023,2,15
19,20,Basic,10,27-05-23,22-06-23,Italy,41,Male,Tablet,1 Month,2023-05-27,2023,5,27
20,21,Premium,15,10-06-23,22-06-23,United States,26,Female,Laptop,1 Month,2023-10-06,2023,10,6
21,22,Basic,10,22-07-22,28-06-23,Canada,34,Male,Smartphone,1 Month,2022-07-22,2022,7,22
22,23,Standard,12,05-12-21,27-06-23,United Kingdom,49,Female,Smart TV,1 Month,2021-05-12,2021,5,12
23,24,Standard,12,03-04-22,26-06-23,Australia,31,Male,Tablet,1 Month,2022-03-04,2022,3,4
24,25,Basic,10,14-03-23,28-06-23,Germany,40,Female,Laptop,1 Month,2023-03-14,2023,3,14
25,26,Premium,15,12-01-22,27-06-23,France,29,Male,Smartphone,1 Month,2022-12-01,2022,12,1
26,27,Basic,10,29-08-22,25-06-23,Brazil,47,Female,Smart TV,1 Month,2022-08-29,2022,8,29
27,28,Standard,12,27-09-21,24-06-23,Mexico,33,Male,Tablet,1 Month,2021-09-27,2021,9,27
28,29,Premium,15,19-12-22,23-06-23,Spain,36,Female,Laptop,1 Month,2022-12-19,2022,12,19
29,30,Basic,10,17-05-23,22-06-23,Italy,42,Male,Smartphone,1 Month,2023-05-17,2023,5,17
30,31,Premium,15,03-02-23,22-06-23,United States,28,Female,Smart TV,1 Month,2023-03-02,2023,3,2
31,32,Basic,10,07-07-22,28-06-23,Canada,37,Male,Tablet,1 Month,2022-07-07,2022,7,7
32,33,Standard,12,21-01-22,27-06-23,United Kingdom,41,Female,Laptop,1 Month,2022-01-21,2022,1,21
33,34,Standard,12,25-05-22,26-06-23,Australia,29,Male,Smartphone,1 Month,2022-05-25,2022,5,25
34,35,Basic,10,11-04-23,28-06-23,Germany,39,Female,Smart TV,1 Month,2023-11-04,2023,11,4
35,36,Premium,15,01-03-22,27-06-23,France,35,Male,Tablet,1 Month,2022-01-03,2022,1,3
36,37,Basic,10,14-09-22,25-06-23,Brazil,45,Female,Laptop,1 Month,2022-09-14,2022,9,14
37,38,Standard,12,05-11-21,24-06-23,Mexico,32,Male,Smartphone,1 Month,2021-05-11,2021,5,11
38,39,Premium,15,28-12-22,23-06-23,Spain,27,Female,Smart TV,1 Month,2022-12-28,2022,12,28
39,40,Basic,10,07-03-23,22-06-23,Italy,48,Male,Tablet,1 Month,2023-07-03,2023,7,3
40,41,Premium,15,20-01-23,22-06-23,United States,31,Female,Laptop,1 Month,2023-01-20,2023,1,20
41,42,Basic,10,15-06-22,28-06-23,Canada,40,Male,Smartphone,1 Month,2022-06-15,2022,6,15
42,43,Standard,12,07-02-22,27-06-23,United Kingdom,36,Female,Smart TV,1 Month,2022-07-02,2022,7,2
43,44,Standard,12,26-04-22,26-06-23,Australia,29,Male,Tablet,1 Month,2022-04-26,2022,4,26
44,45,Basic,10,28-01-23,28-06-23,Germany,43,Female,Laptop,1 Month,2023-01-28,2023,1,28
45,46,Premium,15,23-02-22,27-06-23,France,34,Male,Smartphone,1 Month,2022-02-23,2022,2,23
46,47,Basic,10,05-10-22,25-06-23,Brazil,39,Female,Smart TV,1 Month,2022-05-10,2022,5,10
47,48,Standard,12,15-09-21,24-06-23,Mexico,32,Male,Tablet,1 Month,2021-09-15,2021,9,15
48,49,Premium,15,10-11-22,23-06-23,Spain,28,Female,Laptop,1 Month,2022-10-11,2022,10,11
49,50,Basic,10,02-06-23,22-06-23,Italy,45,Male,Smartphone,1 Month,2023-02-06,2023,2,6
50,51,Premium,15,27-02-23,22-06-23,United States,30,Female,Smart TV,1 Month,2023-02-27,2023,2,27
51,52,Basic,10,29-08-22,28-06-23,Canada,37,Male,Tablet,1 Month,2022-08-29,2022,8,29
